query,hierarchy_data
AFS Commercial Paper - Revaluation,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Commercial Papers""],""level_4"":[""Commercial Papers""],""level_5"":[""AFS""],""level_6"":[""AFS Commercial Paper - Revaluation""]}}"
AFS Commercial Paper - Unamortised Discount,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""UID""],""level_5"":[""Commercial Paper""],""level_6"":[""AFS Commercial Paper""]}}"
AFS Corporate Bonds - Interest Receivable,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Corporate Bonds""],""level_6"":[""AFS Corporate Bonds""]}}"
AFS Disc,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Treasury Bills/Bonds""],""level_4"":[""Treasury Bills""],""level_5"":[""AFS Disc""]}}"
AFS Floating,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Treasury Bills/Bonds""],""level_4"":[""Treasury Bills""],""level_5"":[""AFS Floating""]}}"
AFS Floating Rate Notes,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Treasury Bills/Bonds""],""level_4"":[""Treasury Bills""],""level_5"":[""AFS Floating""],""level_6"":[""AFS Floating Rate Notes""]}}"
AFS Floating Rate Notes - Interest Recble,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Floating Rate Notes""],""level_6"":[""AFS Floating Rate Notes""]}}"
AFS Infrastructure Bonds - Interest Rec'ble,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Infrastructure Bonds""],""level_6"":[""AFS Infrastructure Bonds""]}}"
AFS Off Shore,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Treasury Bills/Bonds""],""level_4"":[""Treasury Bills""],""level_5"":[""AFS Off Shore""]}}"
AFS Prem,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Treasury Bills/Bonds""],""level_4"":[""Infrastructure Bonds""],""level_5"":[""AFS Prem""]}}"
AFS Off Shore Bonds,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Treasury Bills/Bonds""],""level_4"":[""Treasury Bonds""],""level_5"":[""AFS Off Shore""],""level_6"":[""AFS Off Shore Bonds""]}}"
AFS Prem,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Treasury Bills/Bonds""],""level_4"":[""Treasury Bonds""],""level_5"":[""AFS Prem""]}}"
AFS Revaluation,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Treasury Bills/Bonds""],""level_4"":[""Treasury Bills""],""level_5"":[""AFS Revaluation""]}}"
AFS Treasury Bills,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Treasury Bills/Bonds""],""level_4"":[""Treasury Bills""],""level_5"":[""AFS""],""level_6"":[""AFS Treasury Bills""]}}"
AFS Treasury Bills,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Treasury Bills/Bonds""],""level_4"":[""Treasury Bills""],""level_5"":[""AFS Treasury Bills""]}}"
AFS Treasury Bills - Revaluation,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Treasury Bills/Bonds""],""level_4"":[""Treasury Bills""],""level_5"":[""AFS""],""level_6"":[""AFS Treasury Bills - Revaluation""]}}"
AFS Treasury Bills - Unamortised Discount,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""UID""],""level_5"":[""AFS Treasury Bills""],""level_6"":[""AFS Treasury Bills - Unamortised Discount""]}}"
AFS Treasury Bills - Unamortised Premium,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Treasury Bills/Bonds""],""level_4"":[""Treasury Bills""],""level_5"":[""AFS Prem""],""level_6"":[""AFS Treasury Bills - Unamortised Premium""]}}"
AFS Treasury Bonds - Interest Receivable,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Treasury Bonds""],""level_6"":[""AFS Treasury Bonds""]}}"
Airtime Topup Expense Account,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Airtime Topup Expense Account""],""level_6"":[""Airtime Topup Expense Account""]}}"
Allocation Parking,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Allocation Parking""],""level_6"":[""Allocation Parking""]}}"
Amortisation - Operating Lease,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Depreciation & Ammortization""],""level_4"":[""Amortisation""],""level_5"":[""Operating Lease""],""level_6"":[""Amortisation - Operating Lease""]}}"
Amortisation - Software,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Depreciation & Ammortization""],""level_4"":[""Amortisation""],""level_5"":[""Software""],""level_6"":[""Amortisation - Software""]}}"
Amortisation - Software (Finacle),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Depreciation & Ammortization""],""level_4"":[""Amortisation""],""level_5"":[""Software (Finacle)""],""level_6"":[""Amortisation - Software (Finacle)""]}}"
Annual Maintenance Charges- Rtgs,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Annual Maintenance Charges- Rtgs""],""level_6"":[""Annual Maintenance Charges- Rtgs""]}}"
Asset Finance,"{""loan"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Loans & Advances""],""level_4"":[""Loans""],""level_5"":[""Asset Finance""]}}"
Asset Finance Loans,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Asset Finance Loans""]}}"
Asset Finance Loans Accounts,"{""loan"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Loans & Advances""],""level_4"":[""Loans""],""level_5"":[""Asset Finance""],""level_6"":[""Asset Finance Loans Accounts""]}}"
Assets,"{""asset"":{""level_1"":[""Assets""]}}"
ATM Cards Income,"{""income"":{""level_1"":[""Income""],""level_2"":[""Other Income""],""level_3"":[""Other Income""],""level_4"":[""Other Income""],""level_5"":[""ATM Cards""],""level_6"":[""ATM Cards Income""]}}"
Audit Fees,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Audit Fees""],""level_6"":[""Audit Fees""]}}"
Bad Debts Recovered - Bills & Notes,"{""other"":{""level_1"":[""Provisions and Recoveries""],""level_2"":[""Other Income""],""level_3"":[""Bad Debt Recovered""],""level_4"":[""Bad Debt Recovered""],""level_5"":[""Bills & Notes""],""level_6"":[""Bad Debts Recovered - Bills & Notes""]}}"
Bad Debts Recovered - Classic Card,"{""other"":{""level_1"":[""Provisions and Recoveries""],""level_2"":[""Other Income""],""level_3"":[""Bad Debt Recovered""],""level_4"":[""Bad Debt Recovered""],""level_5"":[""Classic Card""],""level_6"":[""Bad Debts Recovered - Classic Card""]}}"
Bad Debts Recovered - Demand Loans,"{""other"":{""level_1"":[""Provisions and Recoveries""],""level_2"":[""Other Income""],""level_3"":[""Bad Debt Recovered""],""level_4"":[""Bad Debt Recovered""],""level_5"":[""Demand Loans""],""level_6"":[""Bad Debts Recovered - Demand Loans""]}}"
Bad Debts Recovered - Gold Card,"{""other"":{""level_1"":[""Provisions and Recoveries""],""level_2"":[""Other Income""],""level_3"":[""Bad Debt Recovered""],""level_4"":[""Bad Debt Recovered""],""level_5"":[""Gold Card""],""level_6"":[""Bad Debts Recovered - Gold Card""]}}"
Bad Debts Recovered - Hire Purchase,"{""other"":{""level_1"":[""Provisions and Recoveries""],""level_2"":[""Other Income""],""level_3"":[""Bad Debt Recovered""],""level_4"":[""Bad Debt Recovered""],""level_5"":[""Hire Purchase""],""level_6"":[""Bad Debts Recovered - Hire Purchase""]}}"
Bad Debts Recovered - Housing Mortgages,"{""other"":{""level_1"":[""Provisions and Recoveries""],""level_2"":[""Other Income""],""level_3"":[""Bad Debt Recovered""],""level_4"":[""Bad Debt Recovered""],""level_5"":[""Housing Mortgages""],""level_6"":[""Bad Debts Recovered - Housing Mortgages""]}}"
Bad Debts Recovered - IPF's,"{""other"":{""level_1"":[""Provisions and Recoveries""],""level_2"":[""Other Income""],""level_3"":[""Bad Debt Recovered""],""level_4"":[""Bad Debt Recovered""],""level_5"":[""IPF's""],""level_6"":[""Bad Debts Recovered - IPF's""]}}"
Bad Debts Recovered - OD's,"{""other"":{""level_1"":[""Provisions and Recoveries""],""level_2"":[""Other Income""],""level_3"":[""Bad Debt Recovered""],""level_4"":[""Bad Debt Recovered""],""level_5"":[""OD's""],""level_6"":[""Bad Debts Recovered - OD's""]}}"
Bad Debts Recovered - Term Loans,"{""other"":{""level_1"":[""Provisions and Recoveries""],""level_2"":[""Other Income""],""level_3"":[""Bad Debt Recovered""],""level_4"":[""Bad Debt Recovered""],""level_5"":[""Term Loan""],""level_6"":[""Bad Debts Recovered - Term Loans""]}}"
Bank ATM Transaction fees - other customers,"{""income"":{""level_1"":[""Income""],""level_2"":[""Other Income""],""level_3"":[""Other Income""],""level_4"":[""Other Income""],""level_5"":[""ATM Transaction fees""],""level_6"":[""Bank ATM Transaction fees - other customers""]}}"
Bank Charges,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Bank Charges""],""level_6"":[""Bank Charges""]}}"
Bank Deposit,"{""deposit"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Deposits from Banks""],""level_4"":[""Bank Deposit""]}}"
Bank Interest,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Bank Interest""],""level_6"":[""Bank Interest""]}}"
Bankers Cheques,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Other Liability""],""level_4"":[""Cheques""],""level_5"":[""Cheques""],""level_6"":[""Bankers' Cheques""]}}"
Banking Charges,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Banking Charges""],""level_6"":[""Banking Charges""]}}"
Banks Abroad,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Balances with Other Banks""],""level_3"":[""Due from Banks""],""level_4"":[""Placement Abroad""],""level_5"":[""Banks Abroad""]}}"
Bills & Notes Discounted,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Loans & Advances""],""level_4"":[""Loans""],""level_5"":[""Bills Discounted""],""level_6"":[""Bills & Notes Discounted""]}}"
Bills & Notes Discounted / NPA,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Loans & Advances""],""level_4"":[""Loans""],""level_5"":[""Other Loan""],""level_6"":[""Bills & Notes Discounted / NPA""]}}"
Bills / Cheques Purchased,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Loans & Advances""],""level_4"":[""Loans""],""level_5"":[""Other Loan""],""level_6"":[""Bills / Cheques Purchased""]}}"
Bills Discounted,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Loans & Advances""],""level_4"":[""Loans""],""level_5"":[""Bills Discounted""]}}"
Bills Payable (FCY),"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Current Liabilities""],""level_3"":[""Bills Payable""],""level_4"":[""Bills Payable""],""level_5"":[""Bills Payable""],""level_6"":[""Bills Payable (FCY)""]}}"
Bills Payable (LCY),"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Current Liabilities""],""level_3"":[""Bills Payable""],""level_4"":[""Bills Payable""],""level_5"":[""Bills Payable""],""level_6"":[""Bills Payable (LCY)""]}}"
Bills Payable,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Current Liabilities""],""level_3"":[""Bills Payable""],""level_4"":[""Bills Payable""]}}"
Bills Payable Account,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Bills Payable""],""level_4"":[""Bills Payable""],""level_5"":[""Bills Payable""],""level_6"":[""Bills Payable Account""]}}"
Bonus,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Staff Expense""],""level_3"":[""Staff Expense""],""level_4"":[""Staff Expense""],""level_5"":[""Staff Expense""],""level_6"":[""Bonus""]}}"
Books And Periodicals--Office,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Books And Periodicals--Office""],""level_6"":[""Books And Periodicals--Office""]}}"
Borrowing from Non-Banks,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Non-Banks ""],""level_4"":[""Borrowing Local Non-Bank""],""level_5"":[""Borrowing from Non-Banks""],""level_6"":[""Borrowing from Non-Banks""]}}"
Borrowing Local Bank,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowing Local Bank""]}}"
Borrowing Local Non-Bank,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Non-Banks""],""level_4"":[""Borrowing Local Non-Bank""]}}"
Borrowings,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Contra Assets""],""level_3"":[""Non-Funded Assets""],""level_4"":[""Placements""],""level_5"":[""Borrowings""]}}"
Borrowings (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Contingent Asset""],""level_3"":[""Funded Assets""],""level_4"":[""Funded Assets""],""level_5"":[""Borrowings""],""level_6"":[""Borrowings (FCY)""]}}"
Borrowings (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Contingent Liability""],""level_3"":[""Contingent Liability""],""level_4"":[""Contingent Liability""],""level_5"":[""Borrowings""],""level_6"":[""Borrowings (FCY)""]}}"
Borrowings (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Contingent Asset""],""level_3"":[""Funded Assets""],""level_4"":[""Funded Assets""],""level_5"":[""Borrowings""],""level_6"":[""Borrowings (LCY)""]}}"
Borrowings (LCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Contingent Liability""],""level_3"":[""Contingent Liability""],""level_4"":[""Contingent Liability""],""level_5"":[""Borrowings""],""level_6"":[""Borrowings (LCY)""]}}"
Borrowings (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Contingent Asset""],""level_3"":[""Funded Assets""],""level_4"":[""Funded Assets""],""level_5"":[""Borrowings""],""level_6"":[""Borrowings (LCY)""]}}"
Borrowings (LCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Contingent Liability""],""level_3"":[""Contingent Liability""],""level_4"":[""Contingent Liability""],""level_5"":[""Borrowings""],""level_6"":[""Borrowings (LCY)""]}}"
Borrowings (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Contra Assets""],""level_3"":[""Non-Funded Assets""],""level_4"":[""Placements""],""level_5"":[""Borrowings""],""level_6"":[""Borrowings (LCY)""]}}"
Borrowings From Banks ,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""]}}"
Borrowings From Non-Banks,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Non-Banks""]}}"
Borrowings with Banks Abroad,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowings Abroad""],""level_5"":[""Borrowings with Banks Abroad""]}}"
Borrowings with Banks Abroad (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowings Abroad""],""level_5"":[""Borrowings with Banks Abroad""],""level_6"":[""Borrowings with Banks Abroad (FCY)""]}}"
Borrowings with Banks Abroad (LCY),"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowings Abroad""],""level_5"":[""Borrowings with Banks Abroad""],""level_6"":[""Borrowings with Banks Abroad (LCY)""]}}"
Borrowings with Banks in  Kenya,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowing Local Bank""],""level_5"":[""Borrowings with Banks in  Kenya""]}}"
Borrowings with Banks in  Kenya (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowing Local Bank""],""level_5"":[""Borrowings with Banks in  Kenya""],""level_6"":[""Borrowings with Banks in  Kenya (FCY)""]}}"
Borrowings with Banks in Kenya (LCY),"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowing Local Bank""],""level_5"":[""Borrowings with Banks in  Kenya""],""level_6"":[""Borrowings with Banks in Kenya (LCY)""]}}"
Brokerage Fees - FX,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Brokerage Fees - FX""],""level_6"":[""Brokerage Fees - FX""]}}"
Brokerage Fees - Securities,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Brokerage Fees - Securities""],""level_6"":[""Brokerage Fees - Securities""]}}"
Brokerage fees payable FX,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Brokerage fees""],""level_4"":[""Brokerage fees payable ""],""level_5"":[""FX""],""level_6"":[""Brokerage fees payable FX""]}}"
Brokerage fees payable Securities,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Brokerage fees ""],""level_4"":[""Brokerage fees payable""],""level_5"":[""Securities""],""level_6"":[""Brokerage fees payable Securities""]}}"
Call Borrowings,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowings Abroad""],""level_5"":[""Call Borrowings Abroad""]}}"
Call Borrowings,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowing Local Bank""],""level_5"":[""Call Borrowings""]}}"
Call Borrowings Abroad,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowings Abroad""],""level_5"":[""Call Borrowings Abroad""]}}"
Call Borrowings Abroad (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowings Abroad""],""level_5"":[""Call Borrowings Abroad""],""level_6"":[""Call Borrowings Abroad (FCY)""]}}"
Call Borrowings Abroad (LCY),"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Call Borrowings""],""level_5"":[""Call Borrowings Abroad""],""level_6"":[""Call Borrowings Abroad (LCY)""]}}"
Call Borrowings in  Kenya (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowing Local Bank""],""level_5"":[""Call Borrowings""],""level_6"":[""Call Borrowings in  Kenya (FCY)""]}}"
Call Borrowings in Kenya (LCY),"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowing Local Bank""],""level_5"":[""Call Borrowings""],""level_6"":[""Call Borrowings in Kenya (LCY)""]}}"
Call Deposits,"{""deposit"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Customer Deposits""],""level_4"":[""Call Deposits""],""level_5"":[""Call Deposits""]}}"
Call Deposits (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Customer Deposits""],""level_4"":[""Call Deposits""],""level_5"":[""Call Deposits""],""level_6"":[""Call Deposits (FCY)""]}}"
Call Deposits (LCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Customer Deposits""],""level_4"":[""Call Deposits""],""level_5"":[""Call Deposits""],""level_6"":[""Call Deposits (LCY)""]}}"
Call Placements Abroad (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Interbank Placements""],""level_4"":[""Placement Abroad""],""level_5"":[""Call Placements""],""level_6"":[""Call Placements Abroad (FCY)""]}}"
Call Placements Abroad (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Interbank Placements""],""level_4"":[""Placement Abroad""],""level_5"":[""Call Placements""],""level_6"":[""Call Placements Abroad (LCY)""]}}"
