timestamp,user_query,example_1_id,example_1_snippet,example_2_id,example_2_snippet,prompt_token_count,completion_token_count,total_token_count,error
2025-11-04T12:21:41.729326,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:22:06.420684,Branch wise Total deposits,,,,,3628,1,3629,
2025-11-04T12:26:28.376878,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:28:16.060750,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:32:37.638071,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:35:29.176779,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:36:04.631498,Branch wise Total deposits,,,,,3628,1,3629,
2025-11-04T12:37:35.110868,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:38:30.495249,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:38:59.341213,Branch wise Total deposits,,,,,3628,1,3629,
2025-11-04T12:39:59.580974,Branch wise Total,,,,,3689,1,3690,
2025-11-04T12:41:04.356346,Branch wise Totals,,,,,3718,1,3719,
2025-11-04T12:44:18.079696,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:44:42.209765,Branch wise Total deposits and Loanss,,,,,3821,1,3822,
2025-11-04T12:47:11.088094,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:48:07.944879,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:48:42.788149,Branch wise Total deposits,,,,,3628,1,3629,
2025-11-04T12:49:04.575916,Branch wise Total deposits and loans,,,,,3755,1,3756,
2025-11-04T12:53:48.829303,"Branch wise Total deposits, loans",,,,,3852,1,3853,
2025-11-04T12:55:19.492163,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:55:40.705580,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:59:48.334111,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T13:23:47.899666,Give me the Total Income by 1st Half of the year,,,,,4238,1,4239,
2025-11-04T15:29:29.807620,What was the total outstanding balance of all term loans at the end of the previous month?,,,,,4519,1,4520,
2025-11-04T15:31:04.454305,"As of the last month-end, what is the combined balance of term loans on the books?",,,,,4421,1,4422,
2025-11-04T15:33:32.939141,What is the term loan portfolio’s total outstanding amount reported at the close of last month?,,,,,4403,1,4404,
2025-11-04T20:38:15.886976,Total deposits?,,,,,3508,1,3509,
2025-11-04T20:41:18.092675,Total deposits last quarter?,,,,,3597,1,3598,
2025-11-04T20:42:38.311681,Total deposits last quarter?,,,,,3597,1,3598,
2025-11-04T20:53:04.290645,Total deposits this quarter?,,,,,3588,1,3589,
2025-11-04T21:08:20.785454,show me deposit trends,,,,,3920,1,3921,
2025-11-04T21:10:26.582400,show me deposit last year,,,,,4329,1,4330,
2025-11-04T21:11:19.093639,show me deposit this year,,,,,4102,1,4103,
2025-11-04T21:12:06.798268,show me deposit this quarter,,,,,3428,1,3429,
2025-11-04T21:17:04.005617,show me deposit last quarter,,,,,3405,1,3406,
